description,part_numbers,times_billed,qty_total,sell_min,sell_max,sell_last,last_date,example
EZ SKIRT SAFETY BRACKET POST,,1,1.0,94.97,94.97,94.97,2026-07-06,EZ Skirt Safety Bracket Post
SKIRT GAS SHOCK BRACKET,,1,1.0,44.09,44.09,44.09,2026-07-06,Skirt Gas Shock Bracket
CONCRETE PATCH,,1,1.0,28.57,28.57,28.57,2026-07-07,Concrete Patch
PAINT BRUSHES,,1,3.0,15.57,15.57,15.57,2026-07-07,Paint Brushes
YELLOW PAINT,,1,1.0,20.74,20.74,20.74,2026-07-07,Yellow Paint
4 PLUG,,1,1.0,42.48,42.48,42.48,2026-07-08,"4"" Plug"
1 1/2 BLACK STEEL UNION,,1,1.0,23.89,23.89,23.89,2026-07-09,"1-1/2"" Black Steel Union"
1 1/2 X CLOSE,,1,1.0,3.98,3.98,3.98,2026-07-16,1-1/2'' x Close
1 1/2 X 10 GALVANIZED NIPPLE,,1,1.0,21.61,21.61,21.61,2026-07-16,"1-1/2 x 10"" Galvanized Nipple"
1 1/2 U BOLTS,,1,2.0,3.63,3.63,3.63,2026-07-16,"1-1/2"" U Bolts"
4 X 6 NIPPLE,,1,1.0,38.84,38.84,38.84,2026-07-20,"4"" x 6"" Nipple"
4 X 8 BLACK STEEL NIPPLE,,1,1.0,39.68,39.68,39.68,2026-07-24,"4"" x 8"" Black Steel Nipple"
BELL X MALE FIBERGLASS FITTING,,1,1.0,32.69,32.69,32.69,2026-07-27,Bell x male Fiberglass Fitting
FIBERGLASS ADHESIVE KIT,GRD-60210101,1,1.0,48.3,48.3,48.3,2026-07-27,Fiberglass Adhesive Kit (GRD-60210101)
7 FIBERGLASS NIPPLE,,1,1.0,8.45,8.45,8.45,2026-07-27,"7"" Fiberglass Nipple"
1 1/2 X 10 GALV NIPPLE,,1,1.0,21.61,21.61,21.61,2026-07-27,"1-1/2"" x 10"" Galv Nipple"
1 1/2 X 4 GALV NIPPLE,,1,1.0,8.84,8.84,8.84,2026-07-27,"1-1/2"" x 4"" Galv Nipple"
